,库名,库名,库名,,,标识,有默认,默认值,,可空,数据类型,,最长,最大字节数,数字精度,小数位,时间精度,,,,,,,,,,,,,,,
,,AttendanceRecord,SigninTime,,,10,0,,106,YES,nvarchar,,50,100,,,,,,,,,,,,,,,,,,
,,AttendanceRecord,SignoffTime,,,11,0,,106,YES,nvarchar,,50,100,,,,,,,,,,,,,,,,,,
,,AttendanceRecords,PKAttendanceRecord,,,1,1,(newid()),26,NO,uniqueidentifier,,,,,,,,,,,,,,,,,,,,,
,,AttendanceRecords,PKUser,,,2,0,,26,NO,uniqueidentifier,,,,,,,,,,,,,,,,,,,,,
,,AttendanceRecords,Date,,,3,0,,26,NO,datetime,,,,23,3,3,,,,,,,,,,,,,,,
,,AttendanceRecords,SignInTime1,,,4,1,(-1),26,NO,int,,,,10,,,,,,,,,,,,,,,,,
,,AttendanceRecords,SignInStatus1,,,5,1,(-1),26,NO,int,,,,10,,,,,,,,,,,,,,,,,
,,AttendanceRecords,SignOffTime1,,,6,1,(-1),26,NO,int,,,,10,,,,,,,,,,,,,,,,,
,,AttendanceRecords,SignOffStatus1,,,7,1,(-1),26,NO,int,,,,10,,,,,,,,,,,,,,,,,
,,AttendanceRecords,SignInTime2,,,8,1,(-1),26,NO,int,,,,10,,,,,,,,,,,,,,,,,
,,AttendanceRecords,SignInStatus2,,,9,1,(-1),26,NO,int,,,,10,,,,,,,,,,,,,,,,,
,,AttendanceRecords,SignOffTime2,,,10,1,(-1),26,NO,int,,,,10,,,,,,,,,,,,,,,,,
,,AttendanceRecords,SignOffStatus2,,,11,1,(-1),26,NO,int,,,,10,,,,,,,,,,,,,,,,,
,,AttendanceRecords,ExtraWorkHours,,,12,1,(0),26,NO,numeric,,,,10,1,,,,,,,,,,,,,,,,
,,AttendanceRecords,Description,,,13,1,(''),10,NO,nvarchar,,900,1800,,,,,,,,,,,,,,,,,,
,,AttendanceRecords,SignInTimeRule1,,,14,1,(-1),26,NO,int,,,,10,,,,,,,,,,,,,,,,,
,,AttendanceRecords,SignOffTimeRule1,,,15,1,(-1),26,NO,int,,,,10,,,,,,,,,,,,,,,,,
,,AttendanceRecords,SignInTimeRule2,,,16,1,(-1),26,NO,int,,,,10,,,,,,,,,,,,,,,,,
,,AttendanceRecords,SignOffTimeRule2,,,17,1,(-1),26,NO,int,,,,10,,,,,,,,,,,,,,,,,
,,AttendanceRecords,DeleteStatus,,,18,1,"(0)
",26,NO,int,,,,10,,,,,,,,,,,,,,,,,
,,AttendanceRules,PKAttendanceRule,,,1,1,(newid()),26,NO,uniqueidentifier,,,,,,,,,,,,,,,,,,,,,
,,AttendanceRules,RuleName,,,2,0,,10,NO,nvarchar,,64,128,,,,,,,,,,,,,,,,,,
,,AttendanceRules,PKCompany,,,3,0,,26,NO,uniqueidentifier,,,,,,,,,,,,,,,,,,,,,
,,AttendanceRules,CreateTime,,,4,1,(getdate()),26,NO,datetime,,,,23,3,3,,,,,,,,,,,,,,,
,,AttendanceRules,UpdateTime,,,5,1,(getdate()),26,NO,datetime,,,,23,3,3,,,,,,,,,,,,,,,
,,AttendanceRules,WorkDays,,,6,1,(0),26,NO,int,,,,10,,,,,,,,,,,,,,,,,
,,AttendanceRules,SignType,,,7,1,(0),26,NO,int,,,,10,,,,,,,,,,,,,,,,,
,,AttendanceRules,SignInTime1,,,8,1,(-1),26,NO,int,,,,10,,,,,,,,,,,,,,,,,
,,AttendanceRules,SignOffTime1,,,9,1,(-1),26,NO,int,,,,10,,,,,,,,,,,,,,,,,
,,AttendanceRules,SignInTime2,,,10,1,(-1),26,NO,int,,,,10,,,,,,,,,,,,,,,,,
,,AttendanceRules,SignOffTime2,,,11,1,(-1),26,NO,int,,,,10,,,,,,,,,,,,,,,,,
,,AttendanceRules,FlexibleMinutes,,,12,1,(0),26,NO,int,,,,10,,,,,,,,,,,,,,,,,
,,AttendanceRules,SignInLimit,,,13,1,(-1),26,NO,int,,,,10,,,,,,,,,,,,,,,,,
,,AttendanceRules,SignOffFree,,,14,1,((0)),26,NO,bit,,,,1,0,,,,,,,,,,,,,,,,
,,AttendanceRules,SyncPublicHolidays,,,15,1,((0)),26,NO,bit,,,,1,0,,,,,,,,,,,,,,,,
,,AttendanceRules,PCSignEnabled,,,16,1,((0)),26,NO,bit,,,,1,0,,,,,,,,,,,,,,,,
,,AttendanceRules,PCSignAutomatically,,,17,1,((0)),26,NO,bit,,,,1,0,,,,,,,,,,,,,,,,
,,AttendanceRules,MobileSignEnabled,,,18,1,((0)),26,NO,bit,,,,1,0,,,,,,,,,,,,,,,,
,,AttendanceRules,HouseVisitMustTakePhotos,,,19,1,((0)),26,NO,bit,,,,1,0,,,,,,,,,,,,,,,,
,,AttendanceRules,StaffOutMustTakePhotos,,,20,1,((0)),26,NO,bit,,,,1,0,,,,,,,,,,,,,,,,
,,AttendanceRules,SignWithHouseSurvey,,,21,1,((0)),26,NO,bit,,,,1,0,,,,,,,,,,,,,,,,
,,AttendanceRules,SignWithHouseVisit,,,22,1,((0)),26,NO,bit,,,,1,0,,,,,,,,,,,,,,,,
,,AttendanceRules,AdditionalSignInReminder,,,23,1,(-1),26,NO,int,,,,10,,,,,,,,,,,,,,,,,
,,AttendanceRules,AdditionalSignOffReminder,,,24,1,(-1),26,NO,int,,,,10,,,,,,,,,,,,,,,,,
,,AttendanceRules,AdditionalFastSignEnabled,,,25,1,((0)),26,NO,bit,,,,1,0,,,,,,,,,,,,,,,,
,,AttendanceRules,ApplyAdditionsToAll,,,26,1,((0)),26,NO,bit,,,,1,0,,,,,,,,,,,,,,,,
,,AttendanceRules,PKApprover,,,27,0,,26,NO,uniqueidentifier,,,,,,,,,,,,,,,,,,,,,
,,AttendanceRules,DeleteStatus,,,28,1,"(0)
",26,NO,int,,,,10,,,,,,,,,,,,,,,,,
,,AttendanceSettingUsers,PKUser,,,1,0,,26,NO,uniqueidentifier,,,,,,,,,,,,,,,,,,,,,
,,AttendanceSettingUsers,AdditionalSignInReminder,,,2,1,(-1),26,NO,int,,,,10,,,,,,,,,,,,,,,,,
,,AttendanceSettingUsers,AdditionalSignOffReminder,,,3,1,(-1),26,NO,int,,,,10,,,,,,,,,,,,,,,,,
,,AttendanceSettingUsers,AdditionalFastSignEnabled,,,4,1,"(0)
",26,NO,int,,,,10,,,,,,,,,,,,,,,,,
,,AttendanceSpecialDays,PKAttendanceSpecialDay,,,1,1,(newid()),26,NO,uniqueidentifier,,,,,,,,,,,,,,,,,,,,,
,,AttendanceSpecialDays,PKAttendanceRule,,,2,0,,26,NO,uniqueidentifier,,,,,,,,,,,,,,,,,,,,,
,,AttendanceSpecialDays,Day,,,3,0,,26,NO,datetime,,,,23,3,3,,,,,,,,,,,,,,,
,,AttendanceSpecialDays,DayType,,,4,1,"((0))
",26,NO,bit,,,,1,0,,,,,,,,,,,,,,,,
,,AttendanceTimes,PKAttendanceTime,,,1,0,,26,NO,uniqueidentifier,,,,,,,,,,,,,,,,,,,,,
,,AttendanceTimes,PKAttendanceRule,,,2,0,,26,NO,uniqueidentifier,,,,,,,,,,,,,,,,,,,,,
,,AttendanceTimes,Name,,,3,1,(''),10,NO,nvarchar,,64,128,,,,,,,,,,,,,,,,,,
,,AttendanceTimes,WorkDays,,,4,0,,26,NO,int,,,,10,,,,,,,,,,,,,,,,,
,,AttendanceTimes,SignType,,,5,0,,26,NO,int,,,,10,,,,,,,,,,,,,,,,,
,,AttendanceTimes,SignInTime1,,,6,0,,26,NO,int,,,,10,,,,,,,,,,,,,,,,,
,,AttendanceTimes,SignOffTime1,,,7,0,,26,NO,int,,,,10,,,,,,,,,,,,,,,,,
,,AttendanceTimes,SignInTime2,,,8,0,,26,NO,int,,,,10,,,,,,,,,,,,,,,,,
,,AttendanceTimes,SignOffTime2,,,9,0,,26,NO,int,,,,10,,,,,,,,,,,,,,,,,
,,AttendanceTimes,FlexibleMinutes,,,10,0,,26,NO,int,,,,10,,,,,,,,,,,,,,,,,
,,AttendanceTimes,SignInLimit,,,11,0,,26,NO,int,,,,10,,,,,,,,,,,,,,,,,
,,AttendanceTimes,Overtime,,,12,0,,26,NO,int,,,,10,,,,,,,,,,,,,,,,,
,,AttendanceUsers,PKAttendanceUser,,,1,1,(newid()),26,NO,uniqueidentifier,,,,,,,,,,,,,,,,,,,,,
,,AttendanceUsers,PKAttendanceRule,,,2,0,,26,NO,uniqueidentifier,,,,,,,,,,,,,,,,,,,,,
,,AttendanceUsers,PKUser,,,3,0,,26,NO,uniqueidentifier,,,,,,,,,,,,,,,,,,,,,
,,AttendanceUsers,StartDate,,,4,1,(getdate()),26,NO,datetime,,,,23,3,3,,,,,,,,,,,,,,,
,,AttendanceUsers,EndDate,,,5,1,"('1900-1-1')
",26,NO,datetime,,,,23,3,3,,,,,,,,,,,,,,,
,,BlackList,PKBlackList,,,1,0,,26,NO,uniqueidentifier,,,,,,,,,,,,,,,,,,,,,
,,BlackList,PKCompany,,,2,0,,26,NO,uniqueidentifier,,,,,,,,,,,,,,,,,,,,,
,,BlackList,Cellphone,,,3,0,,106,YES,nvarchar,,64,128,,,,,,,,,,,,,,,,,,
,,BlackList,Description,,,4,0,,106,YES,nvarchar,,128,256,,,,,,,,,,,,,,,,,,
,,BlackList,DeleteStatus,,,5,1,((0)),26,NO,int,,,,10,,,,,,,,,,,,,,,,,
,,BlackList,PKUser,,,6,0,,26,NO,uniqueidentifier,,,,,,,,,,,,,,,,,,,,,
,,BlackList,CreateTime,,,7,0,,26,NO,datetime,,,,23,3,3,,,,,,,,,,,,,,,
,,BlackListDicts,PKCompany,,,1,0,,26,NO,uniqueidentifier,,,,,,,,,,,,,,,,,,,,,
,,BlackListDicts,Reason,,,2,0,,106,YES,nvarchar,,50,100,,,,,,,,,,,,,,,,,,
,,BlackListDicts,CreateTime,,,3,0,,26,NO,datetime,,,,23,3,3,,,,,,,,,,,,,,,
,,BlackListDicts,Status,,,4,1,((0)),26,NO,int,,,,10,,,,,,,,,,,,,,,,,
,,Blocks,PKBlock,,,1,1,(newid()),26,NO,uniqueidentifier,,,,,,,,,,,,,,,,,,,,,
,,Blocks,BlockID,,,2,1,((0)),26,NO,int,,,,10,,,,,,,,,,,,,,,,,
,,Blocks,PKDistrict,,,3,0,,26,NO,uniqueidentifier,,,,,,,,,,,,,,,,,,,,,
,,Blocks,Block,,,4,0,,10,NO,nvarchar,,64,128,,,,,,,,,,,,,,,,,,
,,Blocks,IsChecked,,,5,1,((0)),26,NO,bit,,,,1,0,,,,,,,,,,,,,,,,
,,Blocks,PKUser,,,6,0,,122,YES,uniqueidentifier,,,,,,,,,,,,,,,,,,,,,
,,Blocks,BlockPinyin,,,7,0,,106,YES,nvarchar,,256,512,,,,,,,,,,,,,,,,,,
,,Blocks,BlockPinyinAbbr,,,8,0,,106,YES,nvarchar,,256,512,,,,,,,,,,,,,,,,,,
,,BrokerageRecords,PKBrokerageRecord,,,1,0,,26,NO,uniqueidentifier,,,,,,,,,,,,,,,,,,,,,
,,BrokerageRecords,PKDealContract,,,2,0,,26,NO,uniqueidentifier,,,,,,,,,,,,,,,,,,,,,
,,BrokerageRecords,Type,,,3,0,,26,NO,smallint,,,,5,,,,,,,,,,,,,,,,,
,,BrokerageRecords,Amount,,,4,0,,26,NO,numeric,,,,12,2,,,,,,,,,,,,,,,,
,,BrokerageRecords,SourceType,,,5,0,,26,NO,smallint,,,,5,,,,,,,,,,,,,,,,,
,,BrokerageRecords,PaymentType,,,6,0,,26,NO,smallint,,,,5,,,,,,,,,,,,,,,,,
,,BrokerageRecords,ReceiveTime,,,7,0,,26,NO,datetime,,,,23,3,3,,,,,,,,,,,,,,,
,,BrokerageRecords,BrokerageTime,,,8,0,,26,NO,datetime,,,,23,3,3,,,,,,,,,,,,,,,
,,BrokerageRecords,Description,,,9,0,,106,YES,nvarchar,,1024,2048,,,,,,,,,,,,,,,,,,
,,BrokerageRecords,PKUserCreator,,,10,0,,26,NO,uniqueidentifier,,,,,,,,,,,,,,,,,,,,,
,,BrokerageRecords,CreateTime,,,11,0,,26,NO,datetime,,,,23,3,3,,,,,,,,,,,,,,,
,,BrokerageRecords,Status,,,12,1,0,26,NO,smallint,,,,5,,,,,,,,,,,,,,,,,
,,BrokerageRecords,PKUserOperator,,,13,0,,122,YES,uniqueidentifier,,,,,,,,,,,,,,,,,,,,,
,,BrokerageRecords,OperationTime,,,14,0,,122,YES,datetime,,,,23,3,3,,,,,,,,,,,,,,,
,,BrokerageShares,PKBrokerageShare,,,1,0,,26,NO,uniqueidentifier,,,,,,,,,,,,,,,,,,,,,
,,BrokerageShares,PKContract,,,2,0,,26,NO,uniqueidentifier,,,,,,,,,,,,,,,,,,,,,
,,BrokerageShares,PKUser,,,3,0,,26,NO,uniqueidentifier,,,,,,,,,,,,,,,,,,,,,
,,BrokerageShares,Amount,,,4,1,((0)),26,NO,numeric,,,,18,0,,,,,,,,,,,,,,,,
,,BrokerageShares,AmountCommission,,,5,1,((0)),26,NO,numeric,,,,18,0,,,,,,,,,,,,,,,,
